,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
1210,21280.84363021234,2556.9132520832513,4643636.615651521,62988.66802127676,145.94215985376593,128.61111111111114,0.44179949523954753,2,0.49411308993081726,0.030043870229519903,,37558.8787255536,119835.6567897943,0.93,False,1.4868862380515513e-05,0.13319691807953934,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1211,21285.84363021234,2653.8213395871585,4644359.8629627125,62979.75892183133,146.66521750149977,128.61111111111114,0.4445042378046215,2,0.4940432027146914,0.030040711593777407,,37554.93000603496,118785.1143660329,0.93,False,1.4896286332059169e-05,0.13152120203871281,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1212,21290.84363021234,2749.991451901868,4645086.855713788,62970.91163645341,147.38798673488364,128.61111111111114,0.4472110346131964,2,0.49397380039753025,0.030037575666804022,,37551.00967553206,117748.89386718677,0.93,False,1.4923509491274947e-05,0.12986803054224053,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1213,21295.84363021234,2845.427594606808,4645817.589870996,62962.125502777344,148.1104275577334,128.61111111111114,0.44991972011770853,2,0.4939048777834219,0.030034462197344514,,37547.11741994209,116726.77215544491,0.93,False,1.4950533375871662e-05,0.12823705843320876,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1214,21300.84363021234,2940.1337537661025,4646552.061253829,62953.39986526251,148.83249992092829,128.61111111111114,0.4526301280162397,2,0.493836429729994,0.030031370936910495,,37543.25292862112,115718.53346908386,0.93,False,1.497735949690081e-05,0.12662795209126612,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1215,21305.84363021234,3034.113900203329,4647290.265533073,62944.7340748814,149.554163761101,128.61111111111114,0.45534209140225596,2,0.49376845114596596,0.030028301639662875,,37539.415894237216,114723.96899964052,0.93,False,1.5003989360772444e-05,0.12504038876294823,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1216,21306.588128588148,3048.0000000000323,4647400.739070509,62943.45255701409,149.66122966536793,128.61111111111114,0.45574470011292384,2,0.49375839830990653,0.030027847808987408,,37538.84854485208,114577.51713834585,0.93,False,1.5007924903952297e-05,0.12480659417254207,1.2239345867421596,0.0,,MTOW_mission:diversion:diversion_climb
1217,21311.588128588148,3048.0000000000323,4648149.045218836,62934.85470314962,155.78090259907873,133.870041145302,0.47438017779942443,2,0.4556646682949876,0.028422520991884623,,38497.200608379455,113426.15363402962,0.93,False,1.5207840277963899e-05,0.0,1.190579582316892,0.0,,MTOW_mission:diversion:diversion_climb
1218,21316.588128588148,3048.0000000000323,4648927.949731831,62926.22986901057,161.7338005106632,138.9856533613164,0.4925077962854144,2,0.4226809564377985,0.027201015056276208,,39712.27958429432,112338.2663495393,0.9299999999999999,False,1.5402307502820254e-05,0.0,1.154144891826918,0.0,,MTOW_mission:diversion:diversion_climb
1219,21321.588128588148,3048.0000000000323,4649736.618734385,62917.57852639732,167.50452496979779,143.94471514548607,0.5100806646491386,2,0.39400475732826384,0.0262534326794461,,41112.823701444046,111313.88834897538,0.93,False,1.55908235478871e-05,0.0,1.1157623400601504,0.0,,MTOW_mission:diversion:diversion_climb
1220,21326.588128588148,3048.0000000000323,4650574.141359234,62908.901150438935,173.08333667009853,148.73885704221922,0.527069124994045,2,0.3689641194866243,0.025507507218781724,,42649.76657234232,110351.85752912702,0.93,False,1.5773070252847793e-05,0.0,1.076192553338095,0.0,,MTOW_mission:diversion:diversion_climb
